ROOM NUMBER	FLOOR	CAPACITY	ROOM STATUS	PREMIUM/CLASSIC	RENOVATED	PAINTING
1	GROUND	5	ACCOUNTS	CLASSIC	ACCOUNTS	PENDING
2	GROUND	5	AVAILABLE	CLASSIC	DONE PROPERLY	FINISHED
3	GROUND	4	AVAILABLE	PREMIUM	DONE PROPERLY	PENDING
4	GROUND	5	AVAILABLE	CLASSIC		PENDING
5	GROUND	5	AVAILABLE	CLASSIC		PENDING
6	GROUND	5	AVAILABLE	CLASSIC		PENDING
7	GROUND	5	AVAILABLE	CLASSIC		PENDING
8	GROUND	5	THINKS	CLASSIC		PENDING
9	GROUND	5	OFFICE ROOM	CLASSIC		PENDING
10	GROUND	4	OCCUPIED	CLASSIC		PENDING
11	GROUND	4	OCCUPIED	CLASSIC		PENDING
12	GROUND	4	OCCUPIED	CLASSIC		PENDING
13	GROUND	4	OCCUPIED	CLASSIC		PENDING
14	GROUND	5	MESS STAFF	CLASSIC		PENDING
15	GROUND	1	MESS STAFF	CLASSIC		PENDING
16	FIRST FLOOR	5	OCCUPIED	CLASSIC		PENDING
17	FIRST FLOOR	5	OCCUPIED	CLASSIC		PENDING
18	FIRST FLOOR	5	OCCUPIED	CLASSIC		PENDING
19	FIRST FLOOR	1	WARDEN	CLASSIC		PENDING
20	FIRST FLOOR	5	OCCUPIED	CLASSIC		PENDING
21	FIRST FLOOR	5	OCCUPIED	CLASSIC		PENDING
22	FIRST FLOOR	5	OCCUPIED	CLASSIC		PENDING
23	FIRST FLOOR	5	OCCUPIED	CLASSIC		PENDING
24	FIRST FLOOR	5	OCCUPIED	CLASSIC		PENDING
25	FIRST FLOOR	2	OCCUPIED	CLASSIC		PENDING
26	FIRST FLOOR	5	OCCUPIED	CLASSIC		PENDING
27	FIRST FLOOR	5	OCCUPIED	CLASSIC		PENDING
28	FIRST FLOOR	5	OCCUPIED	CLASSIC		PENDING
29	FIRST FLOOR	5	OCCUPIED	CLASSIC		PENDING
30	FIRST FLOOR	5	OCCUPIED	CLASSIC		PENDING
31	FIRST FLOOR	1	MESS WARDEN	CLASSIC		PENDING
32	FIRST FLOOR	5	OCCUPIED	CLASSIC		PENDING
33	FIRST FLOOR	5	OCCUPIED	CLASSIC		PENDING
34	FIRST FLOOR	5	OCCUPIED	CLASSIC	RENOVATED	PENDING
35	SECOND FLOOR	5	OCCUPIED	CLASSIC	RENOVATED	FINISHED
36	SECOND FLOOR	5	OCCUPIED	CLASSIC	RENOVATED	FINISHED
37	SECOND FLOOR	1	NURSING STAFF	CLASSIC	DONE PROPERLY	FINISHED
38	SECOND FLOOR	5	OCCUPIED	CLASSIC	DONE PROPERLY	FINISHED
39	SECOND FLOOR	5	OCCUPIED	CLASSIC		PENDING
40	SECOND FLOOR	5	OCCUPIED	CLASSIC		PENDING
41	SECOND FLOOR	5	OCCUPIED	CLASSIC		PENDING
42	SECOND FLOOR	2	NURSING STAFF	CLASSIC	DONE PROPERLY	FINISHED
43	SECOND FLOOR	5	OCCUPIED	CLASSIC		PENDING
44	SECOND FLOOR	5	OCCUPIED	CLASSIC	RENOVATED	FINISHED
45	SECOND FLOOR	5	OCCUPIED	CLASSIC		PENDING
46	SECOND FLOOR	5	OCCUPIED	CLASSIC		PENDING
47	SECOND FLOOR	5	OCCUPIED	CLASSIC		PENDING
48	SECOND FLOOR	5	OCCUPIED	CLASSIC		PENDING
49	SECOND FLOOR	1	THINKS	CLASSIC		PENDING
50	SECOND FLOOR	5	OCCUPIED	CLASSIC		PENDING
51	SECOND FLOOR	5	OCCUPIED	CLASSIC		PENDING
52	SECOND FLOOR	5	OCCUPIED	CLASSIC	RENOVATED Pending (Window added)	PENDING
53	SECOND FLOOR	5	OCCUPIED	CLASSIC	RENOVATED	FINISHED
54	GROUND	15	OCCUPIED	CLASSIC	DONE PROPERLY	FINISHED
