ROOM NUMBER	FLOOR	CAPACITY	ACTUAL CAPACITY	ROOM STATUS	PREMIUM/CLASSIC	RENOVATED	PAINTING
1	GROUND	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
2	GROUND	3	3	AVAILABLE	DELUXE	DONE PROPERLY	FINISHED
3	GROUND	3	3	AVAILABLE	DELUXE	DONE PROPERLY	FINISHED
4	GROUND	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
5	GROUND	3	3	AVAILABLE	DELUXE	DONE PROPERLY	FINISHED
6	GROUND	6	7	AVAILABLE	DELUXE	DONE PROPERLY	FINISHED
7	GROUND	3	3	AVAILABLE	DELUXE	DONE PROPERLY	FINISHED
8	GROUND	3	3	AVAILABLE	DELUXE	DONE PROPERLY	FINISHED
9	GROUND	3	3	AVAILABLE	DELUXE	DONE PROPERLY	FINISHED
10	GROUND	3	3	AVAILABLE	DELUXE	DONE PROPERLY	FINISHED
11	GROUND	2		SICK ROOM	DELUXE	DONE PROPERLY	FINISHED
12	GROUND	6	7	AVAILABLE	DELUXE	DONE PROPERLY	FINISHED
13	FIRST FLOOR	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
14	FIRST FLOOR	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
15	FIRST FLOOR	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
16	FIRST FLOOR	6	7	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
17	FIRST FLOOR	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
18	FIRST FLOOR	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
19	FIRST FLOOR	6	7	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
20	FIRST FLOOR	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
21	FIRST FLOOR	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
22	FIRST FLOOR	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
23	FIRST FLOOR	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
24	FIRST FLOOR	6	7	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
25	SECOND FLOOR	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
26	SECOND FLOOR	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
27	SECOND FLOOR	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
28	SECOND FLOOR	6	7	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
29	SECOND FLOOR	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
30	SECOND FLOOR	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
31	SECOND FLOOR	6	7	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
32	SECOND FLOOR	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
33	SECOND FLOOR	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
34	SECOND FLOOR	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
35	SECOND FLOOR	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
36	SECOND FLOOR	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
37	SECOND FLOOR	3	3	OCCUPIED	DELUXE	DONE PROPERLY	FINISHED
38	SECOND FLOOR	6	7	AVAILABLE	DELUXE	DONE PROPERLY	FINISHED
