position_title,member_name,member_email,institution_name,appointment_notes
Learners General President,<FILL NAME>,<FILL EMAIL>,<INSTITUTION>,
Learners General Vice President,<FILL NAME>,<FILL EMAIL>,<INSTITUTION>,
Learners General Secretary,<FILL NAME>,<FILL EMAIL>,<INSTITUTION>,
Institution President - JKKN Dental College,<FILL NAME>,<FILL EMAIL>,JKKN Dental College and Hospital,
Institution President - JKKN Engineering,<FILL NAME>,<FILL EMAIL>,JKKN College of Engineering and Technology,
Institution President - JKKN Pharmacy,<FILL NAME>,<FILL EMAIL>,JKKN College of Pharmacy,
Institution President - JKKN Allied Health Sciences,<FILL NAME>,<FILL EMAIL>,JKKN College of Allied Health Sciences,
Institution President - JKKN Arts and Science (Aided),<FILL NAME>,<FILL EMAIL>,JKKN College of Arts and Science (Aided),
Institution President - JKKN Arts and Science (Self),<FILL NAME>,<FILL EMAIL>,JKKN College of Arts and Science (Self),
Institution President - JKKN Nursing,<FILL NAME>,<FILL EMAIL>,JKKN College of Nursing and Research,
Institution President - JKKN Education,<FILL NAME>,<FILL EMAIL>,JKKN College of Education,
Portfolio Head - Academics and Research,<FILL NAME>,<FILL EMAIL>,<INSTITUTION>,
Portfolio Head - Sports and Culturals,<FILL NAME>,<FILL EMAIL>,<INSTITUTION>,
Portfolio Head - Campus Welfare and Facilities,<FILL NAME>,<FILL EMAIL>,<INSTITUTION>,
Portfolio Head - Hostel and Food Services,<FILL NAME>,<FILL EMAIL>,<INSTITUTION>,
Portfolio Head - Training and Placements,<FILL NAME>,<FILL EMAIL>,<INSTITUTION>,
Portfolio Head - Extension Activities,<FILL NAME>,<FILL EMAIL>,<INSTITUTION>,
Portfolio Head - Digital Governance and MyJKKN,<FILL NAME>,<FILL EMAIL>,<INSTITUTION>,
Portfolio Head - Grievance Redressal,<FILL NAME>,<FILL EMAIL>,<INSTITUTION>,
Portfolio Head - Sustainability and Social Responsibility,<FILL NAME>,<FILL EMAIL>,<INSTITUTION>,
At-Large Representative 1,<FILL NAME>,<FILL EMAIL>,<INSTITUTION>,Gender/stream/year diversity
At-Large Representative 2,<FILL NAME>,<FILL EMAIL>,<INSTITUTION>,Gender/stream/year diversity
At-Large Representative 3,<FILL NAME>,<FILL EMAIL>,<INSTITUTION>,Gender/stream/year diversity
At-Large Representative 4,<FILL NAME>,<FILL EMAIL>,<INSTITUTION>,Gender/stream/year diversity
At-Large Representative 5,<FILL NAME>,<FILL EMAIL>,<INSTITUTION>,Gender/stream/year diversity
At-Large Representative 6,<FILL NAME>,<FILL EMAIL>,<INSTITUTION>,Gender/stream/year diversity
